route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
17,250728-MULTI-Weekday-01,24609977-250728-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1162266,170023,1,1
17,250728-MULTI-Weekday-01,24609978-250728-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1162266,170023,1,1
17,250728-MULTI-Weekday-01,24609979-250728-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1162266,170023,1,1
17,250728-MULTI-Weekday-01,24609980-250728-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1162266,170023,1,1
17,250728-MULTI-Weekday-01,24609981-250728-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1162266,170023,1,1
17,250728-MULTI-Weekday-01,24609982-250728-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1162266,170023,1,1
17,250728-MULTI-Weekday-01,24609983-250728-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1162266,170023,1,1
17,250728-MULTI-Weekday-01,24609984-250728-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1162266,170023,1,1
17,250728-MULTI-Weekday-01,24609985-250728-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1162266,170023,1,1
17,250728-MULTI-Weekday-01,24609986-250728-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1162266,170023,1,1
17,250728-MULTI-Weekday-01,24609987-250728-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1162266,170023,1,1
17,250728-MULTI-Weekday-01,24609988-250728-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1162266,170023,1,1
17,250728-MULTI-Weekday-01,24609989-250728-MULTI-Weekday-01,"17 HOWDEN SOUTH",1,1162266,170023,1,1
29,250728-MULTI-Weekday-01,24609990-250728-MULTI-Weekday-01,"29 WILLIAMS EAST",0,1162280,290067,1,1
29,250728-MULTI-Weekday-01,24609991-250728-MULTI-Weekday-01,"29A WILLIAMS WEST",1,1162272,290065,1,1
29,250728-MULTI-Weekday-01,24609992-250728-MULTI-Weekday-01,"29 WILLIAMS WEST",1,1162273,290058,1,1
29,250728-MULTI-Weekday-01,24609993-250728-MULTI-Weekday-01,"29A WILLIAMS WEST",1,1162267,290065,1,1
29,250728-MULTI-Weekday-01,24609994-250728-MULTI-Weekday-01,"29A WILLIAMS WEST",1,1162268,290065,1,1
29,250728-MULTI-Weekday-01,24609995-250728-MULTI-Weekday-01,"29A WILLIAMS WEST",1,1162272,290065,1,1
